#front|back
的|對 ， 是 我的 。<br /><br />duì, shì wǒde·.<br /><br />Yes, they are [mine].
帶|她 沒帶 錢 就 出門了 。<br /><br />tā méidài qián jiù chūménle·.<br /><br />She went out without any money.
花|這 要花 好多 錢 。<br /><br />zhè yàohuā hǎoduō qián.<br /><br />It costs a lot of money.
快|有些 孩子 學得 很快 。<br /><br />yǒuxiē háizǐ xuédé hěnkuài.<br /><br />Some children learn very quickly.
條|他們 以前 跟 我們 一樣 住在 同一條 街 。<br /><br />tāmen yǐqián gēn wǒmen yíyàng zhùzài tóngyìtiáo jiē.<br /><br />They used to live on the same street as us.
院|你 住院過 嗎 ？<br /><br />nǐ zhùyuànguò mā?<br /><br />Have you ever been in the hospital?
變|我 想變 有名 。 你 呢 ？ 你 想出名 嗎 ？<br /><br />wǒ xiǎngbiàn yǒumíng. nǐ nē? nǐ xiǎngchūmíng mā?<br /><br />I want to be famous. How about you? Do you want to be famous?
聯|她 說 會 再 跟 我 聯絡 ， 結果 沒寫信 也 沒 打給 我 。<br /><br />tā shuō huì zài gēn wǒ liánluò, jiéguǒ méixiěxìn yě méidǎgěi wǒ.<br /><br />She said she would contact me, but she neither wrote nor called.
言|她 會 說 四種 語言 。<br /><br />tā huì shuō sìzhǒng yǔyán.<br /><br />She speaks four (4) languages.
往|他 愛的 女人 交往了 一個 月 就 離開 他 了 。<br /><br />tā àide· nǚrén jiāowǎngle· yīge· yuè jiù líkāi tā le·.<br /><br />The woman with whom he fell in love left him after a month. > The woman he fell in love with left him after a month.
展|我們 很快 就 進去 展覽 了 ， 沒有 排隊 。<br /><br />wǒmen hěnkuài jiù jìnqù zhǎnlǎn le·, méiyǒu páiduì.<br /><br />We got into the exhibition without having to wait in line.
該|我 該等 你 嗎 ？— 不用 ， 不用等 我 。<br /><br />wǒ gāiděng nǐ mā? — búyòng, búyòngděng wǒ.<br /><br />Shall I wait for you? — No, don't wait for me.
領|她 到了 ， 停好 車 了 ， 走到 航廈 ， 然後 到 櫃台 領票 。<br /><br />tā dàole·, tínghǎo chē le·, zǒudào hángxià, ránhòu dào guìtái lǐngpiào.<br /><br />When she got there, she parked the car, walked to the terminal, and checked in.
傳|他們 住在 大街上 ， 所以 一定 有 很多 噪音 從 街上 傳來 。<br /><br />tāmen zhùzài dàjiēshàng, suǒyǐ yídìng yǒu hěnduō zàoyīn cóng jiēshàng chuánlái.<br /><br />They live on a big street, so there must be a lot of noise from the traffic.
近|我 最近 回到 那個 我長大的 小鎮 。<br /><br />wǒ zuìjìn huídào nàge· wǒzhǎngdàde· xiǎozhèn.<br /><br />I recently went back to the town where I grew up.
留|今天早上 有 我的 語音留言 嗎 ？<br /><br />jīntiānzǎoshàng yǒu wǒde· yǔyīnliúyán mā?<br /><br />Are there any phone messages for me this morning?
紅|是 紅色 的。<br /><br />shì hóngsè de·.<br /><br />It's red.
治|健治 回家了 。<br /><br />jiànzhì huíjiāle·.<br /><br />Kenji went home.
決|他們 聲稱 已經 解決 問題 了 。<br /><br />tāmen shēngchēng yǐjīng jiějué wèntí le·.<br /><br />They claim to have solved the problem.
周|我們 明天 可能會見面 。 但 就算 明天 沒見到 面， 我 很 確定 我們 在 周末 以前 會見到 面。<br /><br />wǒmen míngtiān kěnénghuìjiànmiàn. dàn jiùsuàn míngtiān méijiàndàomiàn, wǒ hěn quèdìng wǒmen zài zhōumò yǐqián huìjiàndàomiàn.<br /><br />I'll probably see you tomorrow. But even if I don't see you tomorrow, I'm sure we'll see each other before the weekend.
保|我 還沒讀過 這本 書 ， 但 保羅 讀過了 。<br /><br />wǒ háiméidúguò zhèběn shū, dàn bǎoluó dúguòle·.<br /><br />I haven't read the book, but Paul has.
達|和 維達 說話 很有趣 。<br /><br />hàn wéidá shuōhuà hěnyǒuqù.<br /><br />It's interesting to talk to Veda. > She's interesting to talk to.
辦|請 幫 我。 — 不好意思 ， 我 沒辦法。<br /><br />qǐng bāng wǒ. — bùhǎoyìsī, wǒ méibànfǎ.<br /><br />Please help me. — I'm sorry, I can't.
運|我 需要 更多的 運動 。> 我 要開始 多 運動 。<br /><br />wǒ xūyào gèngduōde· yùndòng. > wǒ yàokāishǐ duō yùndòng.<br /><br />I need to get more exercise. > I need to start working out more.
半|一半的 錢 是 我的 ， 一半的 錢 是 你的 。<br /><br />yíbànde· qián shì wǒde·, yíbànde· qián shì nǐde·.<br /><br />Half this money is mine, and half of it is yours.
候|她 到 的時候 我 正在 工作 。<br /><br />tā dào de·shíhòu wǒ zhèngzài gōngzuò.<br /><br />I was working when she arrived.
七|他 七點半 開始 。<br /><br />tā qīdiǎnbàn kāishǐ.<br /><br />He starts at seven thirty (7:30).
必|我 五點 以前 必須回到 家 。<br /><br />wǒ wǔdiǎn yǐqián bìxūhuídào jiā.<br /><br />I have to be home by five [o'clock] (5:00). > I have to be home no later than five [o'clock] (5:00).
城|長城 在 中國 。<br /><br />chángchéng zài zhōngguó.<br /><br />The Great Wall of China is in China.
父|是 我的 父親 。<br /><br />shì wǒde· fùqīn.<br /><br />That's my father.
強|我們 被 強迫 等了 兩個 小時 。<br /><br />wǒmen bèi qiángpò děngle· liǎngge· xiǎoshí.<br /><br />We were made to wait for two (2) hours.
步|你 要不要去 散步 ？<br /><br />nǐ yàobúyàoqù sànbù?<br /><br />Would you like to go out for a walk?
完|我 完成 我的 工作 了 。 我 兩點 就 完成 我 的 工作 了 。<br /><br />wǒ wánchéng wǒde· gōngzuò le·. wǒ liǎngdiǎn jiù wánchéng wǒde· gōngzuò le·.<br /><br />I've finished my work. > I finished my work at two.
深|我 對 他的 演講 感到 印象深刻 。 他 口才 真 好。<br /><br />wǒ duì tāde· yǎnjiǎng gǎndào yìnxiàngshēnkè. tā kǒucái zhēn hǎo.<br /><br />I was very impressed with his speech. He's an eloquent speaker.
區|明天 國家 大多數 地區 不會下雨 ， 但 有些 地方 會 。<br /><br />míngtiān guójiā dàduōshù dìqū búhuìxiàyǔ, dàn yǒuxiē dìfāng huì.<br /><br />Tomorrow there'll be rain in some places, but most of the country will be dry.
即|即使 我 符合 工作 條件 ， 我 還是 沒得到 那 個 工作 。<br /><br />jíshǐ wǒ fúhé gōngzuò tiáojiàn, wǒ háishì méidédào nàge· gōngzuò.<br /><br />I didn't get the job though I had all the necessary qualifications.
求|沒有 任何 一個 人 完成 我的 要求 ， 他們 有 嗎 ？<br /><br />méiyǒu rènhé yīge· rén wánchéng wǒde· yàoqiú, tāmen yǒu mā?<br /><br />No one did what I asked them to do, did they?
品|這家 工廠的 產品 大部分 都 出口 。<br /><br />zhèjiā gōngchǎngde· chǎnpǐn dàbùfēn dōu chūkǒu.<br /><br />Most of the goods made in this factory are exported.
士|我 妹妹 是 護士 。<br /><br />wǒ mèimei· shì hùshì.<br /><br />My sister's a nurse.
轉|請 冷靜下來 。 一切都 會 好轉的 。<br /><br />qǐng lěngjìngxiàlái. yíqièdōu huì hǎozhuǎnde·.<br /><br />Please calm down. Everything will turn out all right.
量|這 不是 我 喜歡的 工作 ， 但 我 喜歡 盡量 經常 清理 廚房 。<br /><br />zhè búshì wǒ xǐhuānde· gōngzuò, dàn wǒ xǐhuān jǐnliàng jīngcháng qīnglǐ chúfáng.<br /><br />It's not my favorite job, but I like cleaning the kitchen as often as possible.
空|我 很有可能 沒空 出去 。 我 可能 沒有 時間 出去 。<br /><br />wǒ hěnyǒukěnéng méikòng chūqù. wǒ kěnéng méiyǒu shíjiān chūqù.<br /><br />It's possible that I won't have time to go out. > I might not have time to go out.
眾|觀眾 對 那場 音樂演出 不滿意 。<br /><br />guānzhòng duì nàchǎng yīnyuèyǎnchū bùmǎnyì.<br /><br />The audience was critical of the music performance.
輕|誰 是 班上 最年輕的 學生 ？<br /><br />shéi shì bānshàng zuìniánqīngde· xuéshēng?<br /><br />Who's the youngest student in the class?
程|沒有 ， 我 在等 計程車 。<br /><br />méiyǒu, wǒ zàiděng jìchéngchē.<br /><br />No, I'm waiting for a taxi.
告|我 不敢告訴 他 。<br /><br />wǒ bùgǎngàosù tā.<br /><br />I wouldn't dare tell him.
語|她 會 說 四種 語言 。<br /><br />tā huì shuō sìzhǒng yǔyán.<br /><br />She speaks four (4) languages.
英|你的 英文 很好。<br /><br />nǐde· yīngwén hěnhǎo.<br /><br />Your English is good.
基|哈基姆 很有可能會忘記打 電話 。 他 可能會忘 記打 電話 。<br /><br />hājīmǔ hěnyǒukěnénghuìwàngjìdǎ diànhuà. tā kěnénghuìwàngjìdǎ diànhuà.<br /><br />It's possible that Hakim will forget to call. > He might forget to call.
派|我 很 想去 這個 派對 ， 但 不可能 。<br /><br />wǒ hěn xiǎngqù zhège· pàiduì, dàn bùkěnéng.<br /><br />I'd love to have gone to the party, but it was impossible.
滿|一位 已經 滿 三十歲 的 男人 叫做 「三十歲的 男人」。<br /><br />yíwèi yǐjīng mǎn sānshísuì de· nánrén jiàozuò 「sānshísuìde· nánrén」.<br /><br />A man who is thirty (30) years old is a thirty-year-old man.
式|我們 必須要改變 ， 我們 不能 再 用 這樣的 方式 生活 。<br /><br />wǒmen bìxūyàogǎibiàn, wǒmen bùnéng zài yòng zhèyàngde· fāngshì shēnghuó.<br /><br />We need to change. We can't go on living like this.
李|我們 有 很多 行李 。<br /><br />wǒmen yǒu hěnduō xínglǐ.<br /><br />We had a lot of bags and suitcases. > We had a lot of baggage.
息|如果 有 任何 新消息 ， 我 會讓 你 在 第一 時間 知道 。<br /><br />rúguǒ yǒu rènhé xīnxiāoxí, wǒ huìràng nǐ zài dìyī shíjiān zhīdào.<br /><br />If I have any more news, you'll be the first person to know.
寫|她 寫過 十本 書 。<br /><br />tā xiěguò shíběn shū.<br /><br />She's written ten (10) books.
呢|我的 手機 呢 ？— 我 不知道 。 我 沒有 拿 。<br /><br />wǒde· shǒujī nē? — wǒ bùzhīdào. wǒ méiyǒu ná.<br /><br />Where's my phone? — I don't know. I don't have it.
識|我 認識 的 人 沒有 你 多 。<br /><br />wǒ rènshì de· rén méiyǒu nǐ duō.<br /><br />I don't know as many people as you do. > I know fewer people than you do.
極|他的 工作態度 很積極 ， 所以 他 每個月 都 加薪 。<br /><br />tāde· gōngzuòtàidù hěnjījí, suǒyǐ tā měige·yuè dōu jiāxīn.<br /><br />His attitude toward his job is so positive that he increases his sales every month.
令|這個 消息 很 令 人 咀喪 。<br /><br />zhège· xiāoxí hěn lìng rén jǔsàng.<br /><br />The news was very depressing.
德|拉希德 對 他 弟弟 說的話 感到 很生氣 。<br /><br />lāxīdé duì tā dìdì shuōde·huà gǎndào hěnshēngqì.<br /><br />Rashid is really angry about what his brother said.
收|我 每天 會收到 新聞 ， 但 有時候 我 不會去 看 。<br /><br />wǒ měitiān huìshōudào xīnwén, dàn yǒushíhòu wǒ búhuìqùkàn.<br /><br />I get the news every day, but sometimes I don't read it.
臉|把 微笑 掛在 臉上 ， 你 一定 會得到 更多 回 應的 笑容 。<br /><br />bǎ wéixiào guàzài liǎnshàng, nǐ yídìng huìdédào gèngduō huíyìngde· xiàoróng.<br /><br />Put a smile on your face, and you'll certainly get lots of smiles back.
錢|我 不是 有錢人 。<br /><br />wǒ búshì yǒuqiánrén.<br /><br />I'm not rich.
倒|這房子 看起來 好像 要倒了 。<br /><br />zhèfángzǐ kànqǐlái hǎoxiàng yàodǎole·.<br /><br />That house looks like it's going to fall down. > That house looks as if it's going to fall down.
未|我們 剛剛 贏得了 一份 新合約 ， 但 必須 在 未來 三個 月內 完成 。<br /><br />wǒmen gānggāng yíngdéle· yífèn xīnhéyuē, dàn bìxū zài wèilái sānge· yuènèi wánchéng.<br /><br />We just won a new contract, but completing it will take up the next three (3) months.
持|總統 持續 討論了 好幾個 小時 。<br /><br />zǒngtǒng chíxù tǎolùnle· hǎojǐge· xiǎoshí.<br /><br />The president went on talking for hours.
取|明天的 會議 取消了 。<br /><br />míngtiānde· huìyì qǔxiāole·.<br /><br />The meeting tomorrow has been canceled. > Tomorrow's meeting has been canceled.
始|我們 九點 就 開始 等了 。<br /><br />wǒmen jiǔdiǎn jiù kāishǐ děngle·.<br /><br />We've been waiting since nine [o'clock] (9:00).
雙|我 幾天前 買 這雙 鞋子 。<br /><br />wǒ jǐtiānqián mǎi zhèshuāng xiézǐ.<br /><br />I bought these shoes a few days ago.
歷|歷史 是 研究過去的 學問 。<br /><br />lìshǐ shì yánjiùguòqùde· xuéwèn.<br /><br />History is the study of the past.
越|我們 幾點 要離開 ？— 越早越 好。<br /><br />wǒmen jǐdiǎn yàolíkāi? — yuèzǎoyuè hǎo.<br /><br />What time should we leave? — The sooner the better.
史|歷史 是 研究過去的 學問 。<br /><br />lìshǐ shì yánjiùguòqùde· xuéwèn.<br /><br />History is the study of the past.
商|商店 幾點 關門 ？<br /><br />shāngdiàn jǐdiǎn guānmén?<br /><br />What time do the stores close?
片|這些 明信片 不錯 ， 要多少 錢 ？<br /><br />zhèxiē míngxìnpiàn búcuò, yàoduōshǎo qián?<br /><br />These postcards are nice. How much are they?
容|很多 國家 不太 能包容 外國人 。<br /><br />hěnduō guójiā bútài néngbāoróng wàiguórén.<br /><br />Many countries are not tolerant of foreigners.
研|歷史 是 研究過去的 學問 。<br /><br />lìshǐ shì yánjiùguòqùde· xuéwèn.<br /><br />History is the study of the past.
像|他們 好像 有 很多 錢 。<br /><br />tāmen hǎoxiàng yǒu hěnduō qián.<br /><br />They seem to have plenty of money.
找|要找 個 住的 地方 ， 對 我 來說 好難 。<br /><br />yàozhǎo ge· zhùde· dìfāng, duì wǒ láishuō hǎonán.<br /><br />I had trouble finding a place to live. > I had difficulty finding a place to live.
友|你 看 ， 那 是 我的 朋友 。<br /><br />nǐ kàn, nà shì wǒde· péngyǒu.<br /><br />Look, there's my friend.
孩|他們 沒有 小孩 。<br /><br />tāmen méiyǒu xiǎohái.<br /><br />They don't have any children. > They haven't got any children.
站|我 寧可站著 。<br /><br />wǒ níngkězhànzhe·.<br /><br />I'd rather stand than sit.
廣|高廣 這個 禮拜 不用 上班 。 他 在 渡假 。<br /><br />gāoguǎng zhège· lǐbài búyòng shàngbān. tā zài dùjià.<br /><br />Takahiro's not working this week. He's on vacation.
改|我們 所居住的 世界 一直 在 改變 。<br /><br />wǒmen suǒjūzhùde· shìjiè yìzhí zài gǎibiàn.<br /><br />We live in a world that is changing all the time.
議|這 是 一個 很好的 建議 。<br /><br />zhè shì yīge· hěnhǎode· jiànyì.<br /><br />That's a good suggestion. > That's good advice.
早|他 可能會 早起 。<br /><br />tā kěnénghuì zǎoqǐ.<br /><br />He might get up early.
房|我 住在 這間 房子 十年 了 。<br /><br />wǒ zhùzài zhèjiān fángzǐ shínián le·.<br /><br />I've lived in this house for ten (10) years.
音|我 在聽 音樂 。<br /><br />wǒ zàitīng yīnyuè.<br /><br />I'm listening to music.
火|公車的 班次 比 火車 多 。<br /><br />gōngchēde· bāncì bǐ huǒchē duō.<br /><br />The buses run more often than the trains.
際|我們 住在 國際機場旁 ， 所以 我們 每天 要忍 受 很多 噪音 。<br /><br />wǒmen zhùzài guójìjīchǎngpáng, suǒyǐ wǒmen měitiān yàorěnshòu hěnduō zàoyīn.<br /><br />We live next to an international airport, so we have to put up with a lot of noise.
則|有些 小孩 讓 父母 感到 光榮 ， 有些 則 讓 父母 覺得 丟臉 。<br /><br />yǒuxiē xiǎohái ràng fùmǔ gǎndào guāngróng, yǒuxiē zé ràng fùmǔ juéde diūliǎn.<br /><br />Many children make their parents proud, while some make their parents ashamed.
首|開羅 是 埃及的 首都 。<br /><br />kāiluó shì āijíde· shǒudū.<br /><br />Cairo's the capital of Egypt.
單|還沒， 我 單身 。<br /><br />háiméi, wǒ dānshēn.<br /><br />No, I'm single.
據|根據 DNA 證據， 警方 相信 這兩件 謀殺案 有 相關連。<br /><br />gēnjù DNA zhèngjù, jǐngfāng xiāngxìn zhèliǎngjiàn móushāàn yǒu xiāngguānlián.<br /><br />The police believe there's a connection between the two (2) murders, based on DNA evidence.
導|導遊 給 我們 這個 城市 相關的 資訊 。<br /><br />dǎoyóu gěi wǒmen zhège· chéngshì xiāngguānde· zīxùn.<br /><br />The tour guide gave us some information about the city.
影|我 都不會 一個人 去看 電影。<br /><br />wǒ dōubúhuì yīge·rén qùkàn diànyǐng.<br /><br />I never go to the movies alone.
失|失業 表示 他 沒有 多少 錢 了 。<br /><br />shīyè biǎoshì tā méiyǒu duōshǎo qián le·.<br /><br />Being unemployed means he doesn't have much money.
拿|不是 ， 我 是 加拿大人 。<br /><br />búshì, wǒ shì jiānádàrén.<br /><br />No, I'm Canadian.
網|他 打 網球 。<br /><br />tā dǎ wǎngqiú.<br /><br />He plays tennis.
香|繁  我們 上個 月 去 香港 。<br /><br />wǒmen shàngge· yuè qù xiānggǎng.<br /><br />We went to Hong Kong last month.
似|地球 似乎 是 唯一 有生命的 星球 。<br /><br />dìqiú sìhū shì wéiyī yǒushēngmìngde· xīngqiú.<br /><br />It seems that Earth is the only planet that can support life.
斯|她 明天 會在 加拉加斯 。<br /><br />tā míngtiān huìzài jiālājiāsī.<br /><br />Tomorrow she'll be in Caracas.
專|請 安靜 。 我 需要 專心 。<br /><br />qǐng ānjìng. wǒ xūyào zhuānxīn.<br /><br />Please be quiet. I'm trying to concentrate.
石|鑽石 不便宜 。<br /><br />zuānshí bùpiányí.<br /><br />Diamonds are not cheap.
兵|在 很多的 國家 ， 男性 必須 服兵役 。<br /><br />zài hěnduōde· guójiā, nánxìng bìxū fúbīngyì.<br /><br />In many countries, men must do military service.
弟|我 弟弟 在 銀行 工作 。<br /><br />wǒ dìdì zài yínháng gōngzuò.<br /><br />My brother works in a bank.
誰|你 在等 誰 ？<br /><br />nǐ zàiděng shéi?<br /><br />Who are you waiting for?
校|她的 小孩 在 學校 。<br /><br />tāde· xiǎohái zài xuéxiào.<br /><br />Her children are at school.
讀|他們 讀 很多 。<br /><br />tāmen dú hěnduō.<br /><br />They read a lot.
誌|我 買了 一本 雜誌 。<br /><br />wǒ mǎile· yìběn zázhì.<br /><br />I bought a magazine.
飛|它 會飛 。<br /><br />tā huìfēi.<br /><br />It flies.
觀|觀眾 對 那場 音樂演出 不滿意 。<br /><br />guānzhòng duì nàchǎng yīnyuèyǎnchū bùmǎnyì.<br /><br />The audience was critical of the music performance.
爭|和平主義者 是 反對 戰爭的 。<br /><br />hépíngzhǔyìzhě shì fǎnduì zhànzhēngde·.<br /><br />A pacifist is a person who is against war.
究|歷史 是 研究過去的 學問 。<br /><br />lìshǐ shì yánjiùguòqùde· xuéwèn.<br /><br />History is the study of the past.
包|這個 包包 好重 。<br /><br />zhège· bāobāo hǎozhòng.<br /><br />This bag's heavy.
組|這 會議的 組織 工作 很糟 。<br /><br />zhè huìyìde· zǔzhī gōngzuò hěnzāo.<br /><br />The conference was badly organized.
造|這座 橋 是 十年前 建造的 。<br /><br />zhèzuò qiáo shì shíniánqián jiànzàode·.<br /><br />This bridge was built ten (10) years ago.
落|植物 在 房間的 角落 。<br /><br />zhíwù zài fángjiānde· jiǎoluò.<br /><br />The plant is in the corner of the room.
視|我 看了 電視 。<br /><br />wǒ kànle· diànshì.<br /><br />I watched TV.
濟|我 對 經濟 完全 不懂 。<br /><br />wǒ duì jīngjì wánquán bùdǒng.<br /><br />I don't know anything about economics.
喜|我 不喜歡 他 ， 他 不喜歡 我 。<br /><br />wǒ bùxǐhuān tā, tā bùxǐhuān wǒ.<br /><br />I don't like him, and he doesn't like me.
離|我 一月初 要離開 。<br /><br />wǒ yīyuèchū yàolíkāi.<br /><br />I'm going away at the beginning of January. > I'm going away at the beginning of the year.
雖|雖然 她 不會 開車 ， 但 她 還是 買了 一台 車 。<br /><br />suīrán tā búhuì kāichē, dàn tā háishì mǎile· yìtái chē.<br /><br />Even though she can't drive, she still bought a car.
坐|不好意思 ， 你 坐到 我的 位子 了 。— 對不 起 。<br /><br />bùhǎoyìsī, nǐ zuòdào wǒde· wèizǐ le·. — duìbùqǐ.<br /><br />Excuse me, but you're sitting in my seat. — I'm sorry.
集|我 試著 唸書了 ， 但 我 無法 集中 精神 。<br /><br />wǒ shìzhe· niànshūle·, dàn wǒ wúfǎ jízhōng jīngshén.<br /><br />I tried to study, but I couldn't concentrate.
編|和 警察 交談時 ， 你 不應該編造 故事 或 說 謊 。<br /><br />hàn jǐngchá jiāotánshí, nǐ bùyīnggāibiānzào gùshì huò shuōhuǎng.<br /><br />When talking with the police, you shouldn't make up stories or lie.
寶|寶琳 結婚了 嗎 ？— 我 覺得 她 還沒。<br /><br />bǎolín jiéhūnle· mā? — wǒ juéde tā háiméi.<br /><br />Is Pauline married? — I don't think she is.
談|我們 談到了 這個 問題 。<br /><br />wǒmen tándàole· zhège· wèntí.<br /><br />We talked about the problem.
府|你 把 經濟危機 怪罪 在 政府上 嗎 ？> 我 覺 得 每個人都 把 經濟危機 怪罪 在 政府上。<br /><br />nǐ bǎ jīngjìwéijī guàizuì zài zhèngfǔshàng mā? > wǒ juéde měigèréndōu bǎ jīngjìwéijī guàizuì zài zhèngfǔshàng.<br /><br />Do you blame the government for the economic crisis? > I think everybody wants to blame the government for the economic crisis.
拉|她 明天 會在 加拉加斯 。<br /><br />tā míngtiān huìzài jiālājiāsī.<br /><br />Tomorrow she'll be in Caracas.
黑|是 黑色 的 。<br /><br />shì hēisè de·.<br /><br />It's black.
且|他們 有 很多 書 ，而且 都 讀過了 。<br /><br />tāmen yǒu hěnduō shū, érqiě dōu dúguòle·.<br /><br />They have lots of books, and have read all of them.
隨|以前 人們 隨身攜帶 呼叫器 ， 但 現在 已經 完全 過時了 。<br /><br />yǐqián rénmen suíshēnxīdài hūjiàoqì, dàn xiànzài yǐjīng wánquán guòshíle·.<br /><br />People used to carry pagers around, but they've completely fallen out of use.
格|你 早上 有打給 英格麗 嗎 ？— 沒有 ， 我 沒 時間 。<br /><br />nǐ zǎoshàng yǒudǎgěi yīnggélì mā? — méiyǒu, wǒ méishíjiān.<br /><br />Did you call Ingrid this morning? — No, I didn't have time.
盡|你 可以 盡快 把 錢 寄給 我 嗎 ？<br /><br />nǐ kěyǐ jǐnkuài bǎ qián jìgěi wǒ mā?<br /><br />Could you send me the money as soon as possible?
講|他們 不再 跟 對方 講話了 。<br /><br />tāmen búzài gēn duìfāng jiǎnghuàle·.<br /><br />They're not speaking to each other anymore.
布|我 叫 布萊恩。<br /><br />wǒ jiào bùláiēn.<br /><br />I'm Brian.
殺|有 一個 男人 因為 這個 事件 而 自殺 。<br /><br />yǒu yīge· nánrén yīnwèi zhège· shìjiàn ér zìshā.<br /><br />One man was so upset by the whole ordeal that he commited suicide.
微|這個 包包 比 另外 一個 稍微 重一點 。<br /><br />zhège· bāobāo bǐ lìngwài yīge· shāowéi zhòngyìdiǎn.<br /><br />This bag is slightly heavier than the other one.
怕|怕 我 媽媽 打來 ， 我 會把 手機 開著 。<br /><br />pà wǒ māmā dǎlái, wǒ huìbǎ shǒujī kāizhe·.<br /><br />I'll leave my phone on just in case my mother calls.
母|你的 母親 在 家 嗎 ？<br /><br />nǐde· mǔqīn zài jiā mā?<br /><br />Is your mother at home?
調|警方 成立了 專案小組 來調查 這起 謀殺 。<br /><br />jǐngfāng chénglìle· zhuānànxiǎozǔ láitiáochá zhèqǐ móushā.<br /><br />The police set up a special task force to investigate the murders.
局|我們 有去 郵局 ， 但 沒有去 銀行 。<br /><br />wǒmen yǒuqù yóujú, dàn méiyǒuqù yínháng.<br /><br />We went to the post office, but we didn't go to the bank.
根|根本 不需要著急 ， 我們 還有 很多 時間 。<br /><br />gēnběn bùxūyàozhāojí, wǒmen háiyǒu hěnduō shíjiān.<br /><br />There's no need to hurry. We've got plenty of time.
曾|這 就是 那位 我 曾經 提過的 義大利人 朋友 。<br /><br />zhè jiùshì nàwèi wǒ céngjīng tíguòde· yìdàlìrén péngyǒu.<br /><br />This is my friend from Italy that I was telling you about.
準|沒有 ， 你 準時 到 。<br /><br />méiyǒu, nǐ zhǔnshí dào.<br /><br />No, you're on time.
團|這團 遊客裡 不全是 西班牙人 。 有 一些 是 法國人。<br /><br />zhètuán yóukèlǐ bùquánshì xībānyárén. yǒu yìxiē shì fàguórén.<br /><br />Not all the tourists in the group were Spanish. Some of them were French.
段|從 這裡 到 最近的 加油站 有 一大段 距離 。<br /><br />cóng zhèlǐ dào zuìjìnde· jiāyóuzhàn yǒu yídàduàn jùlí.<br /><br />It's a long way from here to the nearest gas station.
終|他們 還是 無法 與 對方 相處 ， 最後 還是 以 失敗 告終 。<br /><br />tāmen háishì wúfǎ yǔ duìfāng xiāngchù, zuìhòu háishì yǐ shībài gàozhōng.<br /><br />They couldn't get along with each other, so the relationship didn't work out in the end.
樂|我 很樂意 見見 你的 家人 。<br /><br />wǒ hěnlèyì jiànjiàn nǐde· jiārén.<br /><br />I'd love to meet your family.
切|他們 提供 他們 小孩 所想要的 一切 。<br /><br />tāmen tígōng tāmen xiǎohái suǒxiǎngyàode· yíqiè.<br /><br />They give their children everything they want.
級|這個 班級 有 幾個 學生 ？— 二十個 。<br /><br />zhège· bānjí yǒu jǐge· xuéshēng? — èrshíge·.<br /><br />How many students are there in the class? — Twenty.
克|她 認識 克勞德 嗎 ？— 沒有 ， 她 沒見過 他 。<br /><br />tā rènshì kèláodé mā? — méiyǒu, tā méijiànguò tā.<br /><br />Does she know Claude? — No, she's never met him.
精|我 試著 唸書了 ， 但 我 無法 集中 精神 。<br /><br />wǒ shìzhe· niànshūle·, dàn wǒ wúfǎ jízhōng jīngshén.<br /><br />I tried to study, but I couldn't concentrate.
哪|你 打算 把 你的 家具都 放在 哪 ？<br /><br />nǐ dǎsuàn bǎ nǐde· jiājùdōu fàngzài nǎ?<br /><br />Where are you going to put all your furniture?
示|失業 表示 他 沒有 多少 錢 了 。<br /><br />shīyè biǎoshì tā méiyǒu duōshǎo qián le·.<br /><br />Being unemployed means he doesn't have much money.
竟|警方 意外地 開槍 打死了 一名 男子 。 他們 試圖 掩蓋 究竟 發生了 什麼 事 ， 但 卻 成了 一大 醜聞 。<br /><br />jǐngfāng yìwàide· kāiqiāng dǎsǐle· yìmíng nánzǐ. tāmen shìtú yǎngài jiùjìng fāshēngle· shéme shì, dàn què chéngle· yídà chǒuwén.<br /><br />The police accidentally shot and killed a man. They tried to cover up what really happened, but it became a big scandal.
乎|你 說話 說得 太小聲 ， 我 幾乎 聽不到 。<br /><br />nǐ shuōhuà shuōdé tàixiǎoshēng, wǒ jǐhū tīngbúdào.<br /><br />You're speaking too quietly, I can hardly hear you.
男|那個 男人 是 誰 ？<br /><br />nàge· nánrén shì shéi?<br /><br />Who's that man?
舉|上個 禮拜五 公司 有舉辦 派對 ， 但 我 沒去 。<br /><br />shàngge· lǐbàiwǔ gōngsī yǒujǔbàn pàiduì, dàn wǒ méiqù.<br /><br />There was a party at work last Friday, but I didn't go.
客|我們的 客人 應該在 七點半 到 ， 但是 他們 遲到 。<br /><br />wǒmende· kèrén yīnggāizài qīdiǎnbàn dào, dànshì tāmen chídào.<br /><br />Our guests were supposed to arrive at seven thirty.
證|根據 DNA 證據， 警方 相信 這兩件 謀殺案 有 相關連。<br /><br />gēnjù DNA zhèngjù, jǐngfāng xiāngxìn zhèliǎngjiàn móushāàn yǒu xiāngguānlián.<br /><br />The police believe there's a connection between the two (2) murders, based on DNA evidence.
苦|我 找到 一份 新的 工作 ， 但 很辛苦 。<br /><br />wǒ zhǎodào yífèn xīnde· gōngzuò, dàn hěnxīnkǔ.<br /><br />I've got a new job, and it's hard work.
照|你 應該照 我的 做 。<br /><br />nǐ yīnggāizhào wǒde· zuò.<br /><br />You should have done it as I showed you. > You should have done it like this.
