#front|back
今天 天氣 不錯 。|The weather's nice today.<br /><br />今天 天氣 不錯 。<br /><br />jīntiān tiānqì búcuò.
繁  你 女朋友 從事 什麼 工作 ？|What does your girlfriend do?<br /><br />繁  你 女朋友 從事 什麼 工作 ？<br /><br />nǐ nǚpéngyǒu cóngshì shéme gōngzuò?
她 是 畫家 。 她的 作品 得過 很多 獎 。|She's a painter. She's won many prizes for her paintings.<br /><br />她 是 畫家 。 她的 作品 得過 很多 獎 。<br /><br />tā shì huàjiā. tāde· zuòpǐn déguò hěnduō jiǎng.
她 五年前 是 餐廳的 服務生 。|Five years ago she was a waitress in a restaurant.<br /><br />她 五年前 是 餐廳的 服務生 。<br /><br />tā wǔniánqián shì cāntīngde· fúwùshēng.
之後 ， 她 在 農場 工作 ， 但 她 不太 喜歡 這個 工作 。|After that, she worked on a farm, but she didn't enjoy it very much.<br /><br />之後 ， 她 在 農場 工作 ， 但 她 不太 喜歡 這個 工作 。<br /><br />zhīhòu, tā zài nóngchǎng gōngzuò, dàn tā bútài xǐhuān zhège· gōngzuò.
你 認識 建宏的 妹妹 嗎 ？|Do you know Jianhong's sister?<br /><br />你 認識 建宏的 妹妹 嗎 ？<br /><br />nǐ rènshì jiànhóngde· mèimei· mā?
我 看過 她 幾次 ， 但 沒 跟 她 說過話 。|I've seen her a few times, but I've never spoken to her.<br /><br />我 看過 她 幾次 ， 但 沒 跟 她 說過話 。<br /><br />wǒ kànguò tā jǐcì, dàn méi gēn tā shuōguòhuà.
你 有沒有 跟 她 說過話 ？|Have you ever spoken to her?<br /><br />你 有沒有 跟 她 說過話 ？<br /><br />nǐ yǒuméiyǒu gēn tā shuōguòhuà?
我 上禮拜 在 派對 認識 她 ， 她 人 不錯 。|I met her at a party last week. She's very nice.<br /><br />我 上禮拜 在 派對 認識 她 ， 她 人 不錯 。<br /><br />wǒ shànglǐbài zài pàiduì rènshì tā, tā rén búcuò.
有人 每天 打掃 辦公室 。 辦公室 每天都 被 打掃 。|Somebody cleans the office every day. > The office is cleaned every day.<br /><br />有人 每天 打掃 辦公室 。 辦公室 每天都 被 打掃 。<br /><br />yǒurén měitiān dǎsǎo bàngōngshì. bàngōngshì měitiāndōu bèi dǎsǎo.
有人 昨天 打掃 辦公室 。 辦公室 昨天 被 打 掃 。|Somebody cleaned the office yesterday. > The office was cleaned yesterday.<br /><br />有人 昨天 打掃 辦公室 。 辦公室 昨天 被 打 掃 。<br /><br />yǒurén zuótiān dǎsǎo bàngōngshì. bàngōngshì zuótiān bèi dǎsǎo.
奶油 是 牛奶 做成的 。|Butter is made from milk.<br /><br />奶油 是 牛奶 做成的 。<br /><br />nǎiyóu shì niúnǎi zuòchéngde·.
加拿大 進口 柳丁 。 柳丁 被 進口到 加拿大 。|Oranges are imported into Canada.<br /><br />加拿大 進口 柳丁 。 柳丁 被 進口到 加拿大 。<br /><br />jiānádà jìnkǒu liǔdīng. liǔdīng bèi jìnkǒudào jiānádà.
多久 打掃 這些 房間 一次 ？|How often are these rooms cleaned?<br /><br />多久 打掃 這些 房間 一次 ？<br /><br />duōjiǔ dǎsǎo zhèxiē fángjiān yícì?
我 都 沒 被 邀請 去 派對 。|I'm never invited to parties.<br /><br />我 都 沒 被 邀請 去 派對 。<br /><br />wǒ dōu méi bèi yāoqǐng qù pàiduì.
這間 房子 是 一百年前 蓋的 。|This house was built one hundred (100) years ago.<br /><br />這間 房子 是 一百年前 蓋的 。<br /><br />zhèjiān fángzǐ shì yìbǎiniánqián gàide·.
這些 房子 是 一百年前 蓋的 。|These houses were built one hundred (100) years ago.<br /><br />這些 房子 是 一百年前 蓋的 。<br /><br />zhèxiē fángzǐ shì yìbǎiniánqián gàide·.
電話 是 什麼時候 發明的 ？|When was the telephone invented?<br /><br />電話 是 什麼時候 發明的 ？<br /><br />diànhuà shì shémeshíhòu fāmíngde·?
我們 上禮拜 沒有 被 邀請 去 派對 。|We weren't invited to the party last week.<br /><br />我們 上禮拜 沒有 被 邀請 去 派對 。<br /><br />wǒmen shànglǐbài méiyǒu bèi yāoqǐng qù pàiduì.
有人 在 車禍 受傷 嗎 ？|Was anybody injured in the accident?<br /><br />有人 在 車禍 受傷 嗎 ？<br /><br />yǒurén zài chēhuò shòushāng mā?
兩個 人 被 送 到 醫院 。|Two people were taken to the hospital.<br /><br />兩個 人 被 送 到 醫院 。<br /><br />liǎngge· rén bèi sòng dào yīyuàn.
我 一九八九年 在 哥倫比亞 出生 。|I was born in Colombia in nineteen eighty-nine.<br /><br />我 一九八九年 在 哥倫比亞 出生 。<br /><br />wǒ yījiǔbājiǔnián zài gēlúnbǐyǎ chūshēng.
你 在 哪裡 出生 ？— 在 台北 。|Where were you born? — In Taipei.<br /><br />你 在 哪裡 出生 ？— 在 台北 。<br /><br />nǐ zài nǎlǐ chūshēng? — zài táiběi.
電話 是 貝爾 在 一八七六年 發明的。|The telephone was invented by Bell in eighteen seventy-six (1876).<br /><br />電話 是 貝爾 在 一八七六年 發明的。<br /><br />diànhuà shì bèiěr zài yībāqīliùnián fāmíngde·.
我 前幾天 被 狗 咬了 。|I was bitten by dog a few days ago.<br /><br />我 前幾天 被 狗 咬了 。<br /><br />wǒ qiánjǐtiān bèi gǒu yǎole·.
你 喜歡 這些 畫 嗎 ？ 是 我的 一個 朋友 畫 的 。|Do you like these paintings? They were painted by a friend of mine.<br /><br />你 喜歡 這些 畫 嗎 ？ 是 我的 一個 朋友 畫 的 。<br /><br />nǐ xǐhuān zhèxiē huà mā? shì wǒde· yīge· péngyǒu huàde·.
每天都 有人 打掃 這些 房間 嗎 ？|Are these rooms cleaned every day?<br /><br />每天都 有人 打掃 這些 房間 嗎 ？<br /><br />měitiāndōu yǒurén dǎsǎo zhèxiē fángjiān mā?
玻璃 是 沙子 做的 。|Glass is made from sand.<br /><br />玻璃 是 沙子 做的 。<br /><br />bōlí shì shāzǐ zuòde·.
郵票 在 郵局 買得到 。|Stamps are sold at the post office.<br /><br />郵票 在 郵局 買得到 。<br /><br />yóupiào zài yóujú mǎidédào.
這個 字 不常用 。|This word is not used very often.<br /><br />這個 字 不常用 。<br /><br />zhège· zì bùchángyòng.
我們 可以 在 這裡 停車 嗎 ？|Are we allowed to park here?<br /><br />我們 可以 在 這裡 停車 嗎 ？<br /><br />wǒmen kěyǐ zài zhèlǐ tíngchē mā?
這個 字 怎麼 念 ？|How is this word pronounced?<br /><br />這個 字 怎麼 念 ？<br /><br />zhège· zì zěnme niàn?
這個 房子 上個 月 重新 刷 油漆 。|The house was painted last month.<br /><br />這個 房子 上個 月 重新 刷 油漆 。<br /><br />zhège· fángzǐ shàngge· yuè chóngxīn shuā yóuqī.
我的 手機 前幾天 被 偷了 。|My phone was stolen a few days ago.<br /><br />我的 手機 前幾天 被 偷了 。<br /><br />wǒde· shǒujī qiánjǐtiān bèi tōule·.
有 三個 人 在 車禍 受傷 。|Three people were injured in the accident.<br /><br />有 三個 人 在 車禍 受傷 。<br /><br />yǒu sānge· rén zài chēhuò shòushāng.
這座 橋 是 什麼時候 建造的 ？|When was this bridge built?<br /><br />這座 橋 是 什麼時候 建造的 ？<br /><br />zhèzuò qiáo shì shémeshíhòu jiànzàode·?
我 沒有 被 噪音 吵醒 。|I wasn't woken up by the noise.<br /><br />我 沒有 被 噪音 吵醒 。<br /><br />wǒ méiyǒu bèi zàoyīn chǎoxǐng.
這些 窗戶 是 怎麼 破的 ？|How were these windows broken?<br /><br />這些 窗戶 是 怎麼 破的 ？<br /><br />zhèxiē chuānghù shì zěnme pòde·?
你 上禮拜 有 被 邀請 去 亞得里安的 派對 嗎？|Were you invited to Adrian's party last week?<br /><br />你 上禮拜 有 被 邀請 去 亞得里安的 派對 嗎？<br /><br />nǐ shànglǐbài yǒu bèi yāoqǐng qù yǎdélǐānde· pàiduì mā?
足球 在 世界上 大部分的 國家 受歡迎 。|Football is played in most countries of the world.<br /><br />足球 在 世界上 大部分的 國家 受歡迎 。<br /><br />zúqiú zài shìjièshàng dàbùfen·de· guójiā shòuhuānyíng.
為什麼 這封 電子郵件 被 寄到 錯的 信箱 ？|Why did the email get sent to the wrong address?<br /><br />為什麼 這封 電子郵件 被 寄到 錯的 信箱 ？<br /><br />wèishéme zhèfēng diànzǐyóujiàn bèi jìdào cuòde· xìnxiāng?
修車廠 是 維修 車子 的 地方 。|A garage is a place where cars are repaired.<br /><br />修車廠 是 維修 車子 的 地方 。<br /><br />xiūchēchǎng shì wéixiū chēzǐ de· dìfāng.
你 在 哪裡 出生 ？|Where were you born?<br /><br />你 在 哪裡 出生 ？<br /><br />nǐ zài nǎlǐ chūshēng?
瑞士 有 幾種 語言 ？|How many languages are spoken in Switzerland?<br /><br />瑞士 有 幾種 語言 ？<br /><br />ruìshì yǒu jǐzhǒng yǔyán?
有人 闖入 我們的 房子 ， 但 沒有 東西 被 偷 。|Somebody broke into our house, but nothing was stolen.<br /><br />有人 闖入 我們的 房子 ， 但 沒有 東西 被 偷 。<br /><br />yǒurén chuǎngrù wǒmende· fángzǐ, dàn méiyǒu dōngxī bèi tōu.
腳踏車 是 什麼時候 發明的 ？|When was the bicycle invented?<br /><br />腳踏車 是 什麼時候 發明的 ？<br /><br />jiǎotàchē shì shémeshíhòu fāmíngde·?
我 昨天 看到 車禍 。 兩個 人 被 送 到 醫院 。|I saw an accident yesterday. Two people were taken to the hospital.<br /><br />我 昨天 看到 車禍 。 兩個 人 被 送 到 醫院 。<br /><br />wǒ zuótiān kàndào chēhuò. liǎngge· rén bèi sòng dào yīyuàn.
紙張 是 木頭 做的 。|Paper is made from wood.<br /><br />紙張 是 木頭 做的 。<br /><br />zhǐzhāng shì mùtóu zuòde·.
上個 禮拜 ， 旅館 發生 一場 火災 。 兩個 房 間 被 燒毀了 。|There was a fire at the hotel last week. Two of the rooms were damaged.<br /><br />上個 禮拜 ， 旅館 發生 一場 火災 。 兩個 房 間 被 燒毀了 。<br /><br />shàngge· lǐbài, lǚguǎn fāshēng yìchǎng huǒzāi. liǎngge· fángjiān bèi shāohuǐle·.
你 怎麼 拿到 這張 照片的 ？— 我的 一個 朋 友 給 我的 。|Where did you get this picture? — It was given to me by a friend of mine.<br /><br />你 怎麼 拿到 這張 照片的 ？— 我的 一個 朋 友 給 我的 。<br /><br />nǐ zěnme nádào zhèzhāng zhàopiànde·? — wǒde· yīge· péngyǒu gěi wǒde·.
美國的 電視台 播 很多 英國的 節目 。|Many British programs are shown on American television.<br /><br />美國的 電視台 播 很多 英國的 節目 。<br /><br />měiguóde· diànshìtái bō hěnduō yīngguóde· jiémù.
阿列克謝 和 安娜斯塔西亞 有去 婚禮 嗎 ？— 沒有 ， 他們 沒有 被 邀請 。|Did Aleksey and Anastasia go to the wedding? — No, they weren't invited.<br /><br />阿列克謝 和 安娜斯塔西亞 有去 婚禮 嗎 ？— 沒有 ， 他們 沒有 被 邀請 。<br /><br />ālièkèxiè hàn ānnàsītǎxīyǎ yǒuqù hūnlǐ mā? — méiyǒu, tāmen méiyǒu bèi yāoqǐng.
這部 電影 多老了 ？— 這 是 一九六五年 拍的 。|How old is this movie? — It was made in nineteen sixty-five (1965).<br /><br />這部 電影 多老了 ？— 這 是 一九六五年 拍的 。<br /><br />zhèbù diànyǐng duōlǎole·? — zhè shì yījiǔliùwǔnián pāide·.
我的 車 上個 禮拜 被 偷了 ， 但 隔天 警察 就 找到了 。|My car was stolen last week, but the next day it was found by the police.<br /><br />我的 車 上個 禮拜 被 偷了 ， 但 隔天 警察 就 找到了 。<br /><br />wǒde· chē shàngge· lǐbài bèi tōule·, dàn gétiān jǐngchá jiù zhǎodàole·.
阿圖羅 在 哈瓦那 出生 。|Arturo was born in Havana.<br /><br />阿圖羅 在 哈瓦那 出生 。<br /><br />ātúluó zài hāwǎnà chūshēng.
安娜 在 羅馬 出生 。|Anna was born in Rome.<br /><br />安娜 在 羅馬 出生 。<br /><br />ānnà zài luómǎ chūshēng.
她的 父母 在 里約熱內盧 出生 。|Her parents were born in Rio de Janeiro.<br /><br />她的 父母 在 里約熱內盧 出生 。<br /><br />tāde· fùmǔ zài lǐyuērènèilú chūshēng.
我 在 倫敦 出生 。|I was born in London.<br /><br />我 在 倫敦 出生 。<br /><br />wǒ zài lúndūn chūshēng.
我的 媽媽 在 巴黎 出生 。|My mother was born in Paris.<br /><br />我的 媽媽 在 巴黎 出生 。<br /><br />wǒde· māmā zài bālí chūshēng.
有人 在 重新 刷 門的 油漆 。 門 現在 被 重 新 刷上 油漆 。|Somebody is painting the door. The door is being painted.<br /><br />有人 在 重新 刷 門的 油漆 。 門 現在 被 重 新 刷上 油漆 。<br /><br />yǒurén zài chóngxīn shuā ménde· yóuqī. mén xiànzài bèi chóngxīn shuāshàng yóuqī.
我的 車子 在 修車廠 。正在 維修。|My car is at the garage. It's being repaired.<br /><br />我的 車子 在 修車廠 。正在 維修。<br /><br />wǒde· chēzǐ zài xiūchēchǎng. zhèngzài wéixiū.
公園 對面 有 房子 正在 興建中 。|Some new houses are being built across from the park.<br /><br />公園 對面 有 房子 正在 興建中 。<br /><br />gōngyuán duìmiàn yǒu fángzǐ zhèngzài xīngjiànzhōng.
辦公室 正在 打掃中 。|The office is being cleaned right now.<br /><br />辦公室 正在 打掃中 。<br /><br />bàngōngshì zhèngzài dǎsǎozhōng.
辦公室 每天都 有 打掃 。|The office is cleaned every day.<br /><br />辦公室 每天都 有 打掃 。<br /><br />bàngōngshì měitiāndōu yǒu dǎsǎo.
在 美國 ， 美式足球 平常都 在 週末 比賽 ， 但是 下個 週末 沒有 什麼 重要比賽 。|In the United States, football games are usually played on the weekends, but no big games are being played next weekend.<br /><br />在 美國 ， 美式足球 平常都 在 週末 比賽 ， 但是 下個 週末 沒有 什麼 重要比賽 。<br /><br />zài měiguó, měishìzúqiú píngchángdōu zài zhōumò bǐsài, dànshì xiàge· zhōumò méiyǒu shéme zhòngyàobǐsài.
有人 在 重新 刷 門的 油漆 。 門 已經 被 重 新 刷上 油漆 。|Somebody has painted the door. > The door has been painted.<br /><br />有人 在 重新 刷 門的 油漆 。 門 已經 被 重 新 刷上 油漆 。<br /><br />yǒurén zài chóngxīn shuā ménde· yóuqī. mén yǐjīng bèi chóngxīn shuāshàng yóuqī.
有人 偷走了 我的 鑰匙 。 我的 鑰匙 被 偷了 。|Somebody has stolen my key. > My key has been stolen.<br /><br />有人 偷走了 我的 鑰匙 。 我的 鑰匙 被 偷了 。<br /><br />yǒurén tōuzǒule· wǒde· yàoshi·. wǒde· yàoshi· bèi tōule·.
有人 偷走了 我的 鑰匙 。 我的 鑰匙 被 偷了 。|Somebody has stolen my keys. > My keys have been stolen.<br /><br />有人 偷走了 我的 鑰匙 。 我的 鑰匙 被 偷了 。<br /><br />yǒurén tōuzǒule· wǒde· yàoshi·. wǒde· yàoshi· bèi tōule·.
沒有人 邀請 我 去 派對 。 我 沒被 邀請 去 派對 。|Nobody has invited me to the party. > I haven't been invited to the party.<br /><br />沒有人 邀請 我 去 派對 。 我 沒被 邀請 去 派對 。<br /><br />méiyǒurén yāoqǐng wǒ qù pàiduì. wǒ méibèi yāoqǐng qù pàiduì.
有人 洗了 這件 T恤 嗎 ？ 這件 T恤 有 被 洗 過了 嗎 ？|Has somebody washed this shirt? > Has this shirt been washed?<br /><br />有人 洗了 這件 T恤 嗎 ？ 這件 T恤 有 被 洗 過了 嗎 ？<br /><br />yǒurén xǐle· zhèjiàn Txù mā? zhèjiàn Txù yǒu bèi xǐguòle· mā?
這個 房間 不髒了 。 已經 被 打掃了 。|The room isn't dirty anymore. It's been cleaned.<br /><br />這個 房間 不髒了 。 已經 被 打掃了 。<br /><br />zhège· fángjiān bùzāngle·. yǐjīng bèi dǎsǎole·.
房間 昨天 打掃過了 。|The room was cleaned yesterday.<br /><br />房間 昨天 打掃過了 。<br /><br />fángjiān zuótiān dǎsǎoguòle·.
我 找不到 我的 鑰匙 。 我 想 它們 被 偷了 。|I can't find my keys. I think they've been stolen.<br /><br />我 找不到 我的 鑰匙 。 我 想 它們 被 偷了 。<br /><br />wǒ zhǎobúdào wǒde· yàoshi·. wǒ xiǎng tāmen bèi tōule·.
我的 鑰匙 上禮拜 被 偷了 。|My keys were stolen last week.<br /><br />我的 鑰匙 上禮拜 被 偷了 。<br /><br />wǒde· yàoshi· shànglǐbài bèi tōule·.
車子 正在 維修中 。|The car's being repaired. > The car's getting repaired.<br /><br />車子 正在 維修中 。<br /><br />chēzǐ zhèngzài wéixiūzhōng.
橋 正在 興建中 。|A bridge is being built. > A bridge is getting built.<br /><br />橋 正在 興建中 。<br /><br />qiáo zhèngzài xīngjiànzhōng.
有人 正在 洗 窗戶 。|The windows are being washed. > The windows are getting washed.<br /><br />有人 正在 洗 窗戶 。<br /><br />yǒurén zhèngzài xǐ chuānghù.
有人 正在 修剪 草皮 。|The grass is being cut. > The grass is getting cut.<br /><br />有人 正在 修剪 草皮 。<br /><br />yǒurén zhèngzài xiūjiǎn cǎopí.
辦公室 正在 打掃中 。|The office is being cleaned. > The office is getting cleaned.<br /><br />辦公室 正在 打掃中 。<br /><br />bàngōngshì zhèngzài dǎsǎozhōng.
襯衫 已經 被 燙過了 。|The shirts have been ironed. > The shirts got ironed.<br /><br />襯衫 已經 被 燙過了 。<br /><br />chènshān yǐjīng bèi tàngguòle·.
窗戶 被 打破了 。|The window's been broken. > The window got broken.<br /><br />窗戶 被 打破了 。<br /><br />chuānghù bèi dǎpòle·.
屋頂 正在 維修中 。|The roof is being repaired. > The roof is getting repaired.<br /><br />屋頂 正在 維修中 。<br /><br />wūdǐng zhèngzài wéixiūzhōng.
車子 被 破壞了 。|The car's been damaged. > The car got damaged.<br /><br />車子 被 破壞了 。<br /><br />chēzǐ bèi pòhuàile·.
房子 正在 被 拆除 。|The houses are being torn down. > The houses are getting torn down.<br /><br />房子 正在 被 拆除 。<br /><br />fángzǐ zhèngzài bèi chāichú.
樹 被 砍了 。|The trees have been cut down. > The trees got cut down.<br /><br />樹 被 砍了 。<br /><br />shù bèi kǎnle·.
他們 被 邀請 去 派對 。|They've been invited to a party. > They got invited to a party.<br /><br />他們 被 邀請 去 派對 。<br /><br />tāmen bèi yāoqǐng qù pàiduì.
我 現在 不能用 辦公室 。正在 油漆中。|I can't use my office right now. It's being painted.<br /><br />我 現在 不能用 辦公室 。正在 油漆中。<br /><br />wǒ xiànzài bùnéngyòng bàngōngshì. zhèngzài yóuqīzhōng.
我們 沒有去 派對 。 我們 沒有 被 邀請 。|We didn't go to the party. We weren't invited.<br /><br />我們 沒有去 派對 。 我們 沒有 被 邀請 。<br /><br />wǒmen méiyǒuqù pàiduì. wǒmen méiyǒu bèi yāoqǐng.
洗衣機 本來 壞了 。 修好了 。|The washing machine was broken. It's been repaired now.<br /><br />洗衣機 本來 壞了 。 修好了 。<br /><br />xǐyījī běnlái huàile·. xiūhǎole·.
洗衣機 昨天下午 在 維修中 。|The washing machine was getting repaired yesterday afternoon.<br /><br />洗衣機 昨天下午 在 維修中 。<br /><br />xǐyījī zuótiānxiàwǔ zài wéixiūzhōng.
工廠 是 製造 東西 的 地方 。|A factory is a place where things are made.<br /><br />工廠 是 製造 東西 的 地方 。<br /><br />gōngchǎng shì zhìzào dōngxī de· dìfāng.
這些 房子 有 多老 ？ 什麼時候 蓋的 ？|How old are these houses? When were they built?<br /><br />這些 房子 有 多老 ？ 什麼時候 蓋的 ？<br /><br />zhèxiē fángzǐ yǒu duōlǎo? shémeshíhòu gàide·?
電腦 目前 有人 在用 嗎 ？— 有 ， 鮑里斯 在 用 。|Is the computer being used at the moment? — Yes, Boris is using it.<br /><br />電腦 目前 有人 在用 嗎 ？— 有 ， 鮑里斯 在 用 。<br /><br />diànnǎo mùqián yǒurén zàiyòng mā? — yǒu, bàolǐsī zàiyòng.
我 沒看過 這些 花 。 它們 叫 什麼 ？|I've never seen these flowers before. What are they called?<br /><br />我 沒看過 這些 花 。 它們 叫 什麼 ？<br /><br />wǒ méikànguò zhèxiē huā. tāmen jiào shéme?
我的 太陽眼鏡 昨天 在 海邊 被 偷了 。|My sunglasses were stolen at the beach yesterday.<br /><br />我的 太陽眼鏡 昨天 在 海邊 被 偷了 。<br /><br />wǒde· tàiyángyǎnjìng zuótiān zài hǎibiān bèi tōule·.
橋 關閉了 。 上個 禮拜 受損 ， 還沒有 修 好。|The bridge is closed. It got damaged last week, and it hasn't been repaired yet.<br /><br />橋 關閉了 。 上個 禮拜 受損 ， 還沒有 修 好。<br /><br />qiáo guānbìle·. shàngge· lǐbài shòusǔn, háiméiyǒu xiūhǎo.
它 還沒 修好。|It hasn't gotten repaired yet.<br /><br />它 還沒 修好。<br /><br />tā háiméi xiūhǎo.
請 安靜 。 我 在 工作 。|Please be quiet. I'm working.<br /><br />請 安靜 。 我 在 工作 。<br /><br />qǐng ānjìng. wǒ zài gōngzuò.
現在 沒有 在下雨 。|It isn't raining right now.<br /><br />現在 沒有 在下雨 。<br /><br />xiànzài méiyǒu zàixiàyǔ.
你 今天晚上 要做 什麼 ？|What are you doing tonight?<br /><br />你 今天晚上 要做 什麼 ？<br /><br />nǐ jīntiānwǎnshàng yàozuò shéme?
她 到 的時候 我 正在 工作 。|I was working when she arrived.<br /><br />她 到 的時候 我 正在 工作 。<br /><br />tā dào de·shíhòu wǒ zhèngzài gōngzuò.
當時 沒有 在下雨 ， 所以 我們 才 沒有帶 雨 傘 。|It wasn't raining, so we didn't need an umbrella.<br /><br />當時 沒有 在下雨 ， 所以 我們 才 沒有帶 雨 傘 。<br /><br />dāngshí méiyǒu zàixiàyǔ, suǒyǐ wǒmen cái méiyǒudài yǔsǎn.
你 三點 的時候 在做 什麼 ？|What were you doing at three o'clock (3:00)?<br /><br />你 三點 的時候 在做 什麼 ？<br /><br />nǐ sāndiǎn de·shíhòu zàizuò shéme?
這些 辦公室 沒有 每天 打掃 。|These offices aren't cleaned every day.<br /><br />這些 辦公室 沒有 每天 打掃 。<br /><br />zhèxiē bàngōngshì méiyǒu měitiān dǎsǎo.
辦公室 昨天 打掃了 。|The office was cleaned yesterday. The office got cleaned yesterday.<br /><br />辦公室 昨天 打掃了 。<br /><br />bàngōngshì zuótiān dǎsǎole·.
窗戶 怎麼 破的 ？|How was the window broken? How did the window get broken?<br /><br />窗戶 怎麼 破的 ？<br /><br />chuānghù zěnme pòde·?
我 住在 這間 房子 十年 了 。|I've lived in this house for ten (10) years.<br /><br />我 住在 這間 房子 十年 了 。<br /><br />wǒ zhùzài zhèjiān fángzǐ shínián le·.
迪特里克 從來 沒有 騎過 馬 。|Dietrich has never ridden a horse.<br /><br />迪特里克 從來 沒有 騎過 馬 。<br /><br />dítèlǐkè cónglái méiyǒu qíguò mǎ.
菲莉白 沒有 去過 南美洲 。|Filippa hasn't been to South America.<br /><br />菲莉白 沒有 去過 南美洲 。<br /><br />fēilìbái méiyǒu qùguò nánměizhōu.
大介 和 愛子 去 哪裡 了 ？|Where have Daisuke and Aiko gone?<br /><br />大介 和 愛子 去 哪裡 了 ？<br /><br />dàjiè hàn àizǐ qù nǎlǐ le·?
我 喜歡 咖啡 ， 但 我 不喜歡 茶 。|I like coffee, but I don't like tea.<br /><br />我 喜歡 咖啡 ， 但 我 不喜歡 茶 。<br /><br />wǒ xǐhuān kāfēi, dàn wǒ bùxǐhuān chá.
嘉布里愛 不常 出門。|Gabriele doesn't go out very often.<br /><br />嘉布里愛 不常 出門。<br /><br />jiābùlǐài bùcháng chūmén.
你 週末 通常 做 什麼 ？|What do you usually do on weekends?<br /><br />你 週末 通常 做 什麼 ？<br /><br />nǐ zhōumò tōngcháng zuò shéme?
費奧多爾 一個人 住 嗎？|Does Fyodor live alone?<br /><br />費奧多爾 一個人 住 嗎？<br /><br />fèiàoduōěr yīge·rén zhù mā?
我 昨天 沒有看 電視 。|I didn't watch TV yesterday.<br /><br />我 昨天 沒有看 電視 。<br /><br />wǒ zuótiān méiyǒukàn diànshì.
上個 禮拜 沒有 下雨 。|It didn't rain last week.<br /><br />上個 禮拜 沒有 下雨 。<br /><br />shàngge· lǐbài méiyǒu xiàyǔ.
法比奧 和 當娜 幾點 出去的？|What time did Fabio and Donatella go out?<br /><br />法比奧 和 當娜 幾點 出去的？<br /><br />fǎbǐào hàn dāngnà jǐdiǎn chūqùde·?
你 晚上 有在 上班 嗎 ？|Do you work at night?<br /><br />你 晚上 有在 上班 嗎 ？<br /><br />nǐ wǎnshàng yǒuzài shàngbān mā?
他們 要去 哪裡 ？|Where are they going?<br /><br />他們 要去 哪裡 ？<br /><br />tāmen yàoqù nǎlǐ?
你 為什麼 在看 我 ？|Why are you looking at me?<br /><br />你 為什麼 在看 我 ？<br /><br />nǐ wèishéme zàikàn wǒ?
瑞娜亞 住 你 附近 嗎 ？|Does Xenia live near you?<br /><br />瑞娜亞 住 你 附近 嗎 ？<br /><br />ruìnàyǎ zhù nǐ fùjìn mā?
你 喜歡 煮飯 嗎 ？|Do you like to cook?<br /><br />你 喜歡 煮飯 嗎 ？<br /><br />nǐ xǐhuān zhǔfàn mā?
太陽 有出來 嗎 ？|Is the sun shining?<br /><br />太陽 有出來 嗎 ？<br /><br />tàiyáng yǒuchūlái mā?
商店 幾點 關門 ？|What time do the stores close?<br /><br />商店 幾點 關門 ？<br /><br />shāngdiàn jǐdiǎn guānmén?
法蘭茲 今天 要 上班 嗎 ？|Is Franz working today?<br /><br />法蘭茲 今天 要 上班 嗎 ？<br /><br />fǎlánzī jīntiān yào shàngbān mā?
這個 字 是 什麼 意思 ？|What does this word mean?<br /><br />這個 字 是 什麼 意思 ？<br /><br />zhège· zì shì shéme yìsī?
你 感覺 還好嗎 ？|Are you feeling all right?<br /><br />你 感覺 還好嗎 ？<br /><br />nǐ gǎnjué háihǎomā?
海蒂 不在 晚上 工作 。|Heidi doesn't work at night.<br /><br />海蒂 不在 晚上 工作 。<br /><br />hǎidì búzài wǎnshàng gōngzuò.
我 很累 。 我 今晚 不想出門 。|I'm very tired. I don't want to go out tonight.<br /><br />我 很累 。 我 今晚 不想出門 。<br /><br />wǒ hěnlèi. wǒ jīnwǎn bùxiǎngchūmén.
我 很累 。 我 今晚 不出門 。|I'm very tired. I'm not going out tonight.<br /><br />我 很累 。 我 今晚 不出門 。<br /><br />wǒ hěnlèi. wǒ jīnwǎn bùchūmén.
高廣 這個 禮拜 不用 上班 。 他 在 渡假 。|Takahiro's not working this week. He's on vacation.<br /><br />高廣 這個 禮拜 不用 上班 。 他 在 渡假 。<br /><br />gāoguǎng zhège· lǐbài búyòng shàngbān. tā zài dùjià.
我的 爸媽 通常 在 家 。 他們 不常 出去 。|My parents are usually at home. They don't go out very often.<br /><br />我的 爸媽 通常 在 家 。 他們 不常 出去 。<br /><br />wǒde· bàmā tōngcháng zài jiā. tāmen bùcháng chūqù.
光子 旅行過 很多 地方 ， 但是 不會講 任何 外文 。|Mitsuko has traveled a lot, but she doesn't speak any foreign languages.<br /><br />光子 旅行過 很多 地方 ， 但是 不會講 任何 外文 。<br /><br />guāngzǐ lǚxíngguò hěnduō dìfāng, dànshì búhuìjiǎng rènhé wàiwén.
你 可以關 電視 。 我 沒有 在看 。|You can turn off the television. I'm not watching it.<br /><br />你 可以關 電視 。 我 沒有 在看 。<br /><br />nǐ kěyǐguān diànshì. wǒ méiyǒu zàikàn.
芙蘿拉 邀 我們 下個 禮拜 去 她的 派對 ， 但 我們 沒有 要去 。|Flora has invited us to her party next week, but we're not going.<br /><br />芙蘿拉 邀 我們 下個 禮拜 去 她的 派對 ， 但 我們 沒有 要去 。<br /><br />fúluólā yāo wǒmen xiàge· lǐbài qù tāde· pàiduì, dàn wǒmen méiyǒu yàoqù.
